번호,인허가일자,소재지전체주소,도로명전체주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,영업장주변구분명
344,19910821,서울특별시 중구 남대문로1가 22-10 2층 ,"서울특별시 중구 남대문로 112, 2층 (남대문로1가)",참치공방,일식,198429.971915327    ,451654.194861108    ,일식,기타
345,19910821,서울특별시 중구 을지로6가 35-1번지 ,서울특별시 중구 을지로42길 16 (을지로6가),용복집,한식,200422.684662081    ,451477.142519669    ,한식,주택가주변
346,19910820,서울특별시 관악구 신림동 1637-8번지 ,서울특별시 관악구 신림로 303 (신림동),오토야,한식,193715.088372293    ,442146.173185706    ,한식,유흥업소밀집지역
347,19910819,서울특별시 구로구 구로동 728-3 ,서울특별시 구로구 구로동로25길 11 (구로동),안기수타면,한식,189610.231559875    ,443146.686826403    ,한식,기타
348,19910819,서울특별시 종로구 관수동 43-2 ,서울특별시 종로구 수표로20길 16-17 (관수동),한일식당,한식,199147.760577643    ,451956.53315786     ,한식,기타
349,19910817,서울특별시 구로구 개봉동 407-19 ,서울특별시 구로구 개봉로20길 84 (개봉동),불불이 족발,한식,187455.205412498    ,443455.763142875    ,한식,기타
350,19910817,서울특별시 강서구 화곡동 934-15번지 (지상 1층) ,"서울특별시 강서구 강서로5나길 133, 1층 (화곡동, 1동)",홍어마을,한식,185854.354097496    ,447328.651932744    ,한식,기타
351,19910816,서울특별시 강남구 역삼동 704-54 ,서울특별시 강남구 선릉로93길 32 (역삼동),선릉 FOOD,한식,204000.666058448    ,444726.043653911    ,한식,유흥업소밀집지역
352,19910816,서울특별시 서초구 서초동 1431-1 ,서울특별시 서초구 남부순환로333길 36 (서초동),마포숯불갈비,한식,201795.048486957    ,442429.603600405    ,한식,주택가주변
353,19910816,서울특별시 영등포구 영등포동6가 74-1 흥무빌딩 ,"서울특별시 영등포구 영신로38길 18, 흥무빌딩 1층 1호 (영등포동6가)",신화식당흑염소영양탕삼계탕,한식,191369.746579575    ,446499.816991394    ,한식,기타
354,19910816,서울특별시 서대문구 홍은동 9-155 ,서울특별시 서대문구 포방터2길 6 (홍은동),호남집,한식,195454.145004264    ,455164.186295742    ,한식,주택가주변
355,19910816,서울특별시 중랑구 상봉동 115-24 ,서울특별시 중랑구 망우로42길 9 (상봉동),상봉회관,한식,207260.48143673     ,454756.952279163    ,한식,기타
